Ticker,Name,SEDOL,ISIN,CUSIP,Net Assets,YTD Return (%),Inception Date,Asset Class,Sub Asset Class,Strategy,Region,Market,Country,performanceNavQuarterly,,,,,,,performanceNavMonthly,,,,,,,performancePriceQuarterly,,,,,,,performancePriceMonthly,,,,,,,Yields,,,,,,,Fees,
,,,,,,,,,,,,,,As Of,YTD (%),1Y (%),3Y (%),5Y (%),10Y (%),Incept (%),As Of,YTD (%),1Y (%),3Y (%),5Y (%),10Y (%),Incept (%),As Of,YTD (%),1Y (%),3Y (%),5Y (%),10Y (%),Incept (%),As Of,YTD (%),1Y (%),3Y (%),5Y (%),10Y (%),Incept (%),12 Month Yield (%),30 Day SEC Yield (%),Unsubsidized Yield (%),Distribution Yield,Effective Duration,Weighted Avg Maturity,Option Adjusted Spread,Gross Expense Ratio,Net Expense Ratio
IUSG,iShares Core S&P U.S. Growth ETF,-,US4642876712,464287671,"5,737,130,497.25",12.07,"Jul 24, 2000",Equity,All Cap,Core,North America,Developed,United States,"Dec 31, 2018",-0.80,-0.80,10.59,9.79,14.92,3.49,"Jan 31, 2019",7.62,-0.22,15.67,12.05,16.36,3.89,"Dec 31, 2018",-0.78,-0.78,10.61,9.82,14.93,3.50,"Jan 31, 2019",7.55,-0.24,15.71,12.07,16.36,3.89,1.23,1.49,-,1.33,-,-,-,0.04,0.04
IUSV,iShares Core S&P U.S. Value ETF,-,US4642876639,464287663,"5,129,910,154.70",11.94,"Jul 24, 2000",Equity,All Cap,Core,North America,Developed,United States,"Dec 31, 2018",-9.08,-9.08,7.37,5.95,11.11,6.46,"Jan 31, 2019",8.78,-4.87,12.44,8.54,13.45,6.91,"Dec 31, 2018",-9.16,-9.16,7.39,5.96,11.11,6.46,"Jan 31, 2019",8.71,-4.88,12.48,8.54,13.43,6.91,2.45,2.44,-,2.60,-,-,-,0.04,0.04
IEUR,iShares Core MSCI Europe ETF,-,US46434V7385,46434V738,"3,269,372,628.57",10.35,"Jun 10, 2014",Equity,All Cap,Core,Europe,Developed,Broad,"Dec 31, 2018",-15.24,-15.24,2.30,-,-,-1.50,"Jan 31, 2019",6.95,-14.06,7.10,-,-,-0.03,"Dec 31, 2018",-14.82,-14.82,2.49,-,-,-1.46,"Jan 31, 2019",6.55,-14.03,6.77,-,-,-0.08,3.52,3.04,-,1.46,-,-,-,0.10,0.10
IUSB,iShares Core Total USD Bond Market ETF,-,US46434V6130,46434V613,"2,916,888,030.45",1.57,"Jun 10, 2014",Fixed Income,Multi Sectors,"Core, Income",North America,Developed,United States,"Dec 31, 2018",-0.38,-0.38,2.46,-,-,2.18,"Jan 31, 2019",1.40,2.00,2.56,-,-,2.45,"Dec 31, 2018",-0.34,-0.34,2.45,-,-,2.23,"Jan 31, 2019",1.26,1.88,2.68,-,-,2.46,2.99,3.24,3.23,3.26,5.46,7.71,78.02,0.07,0.06
ISTB,iShares Core 1-5 Year USD Bond ETF,-,US46432F8591,46432F859,"2,353,736,903.14",1.09,"Oct 18, 2012",Fixed Income,Multi Sectors,"Core, Income",North America,Developed,United States,"Dec 31, 2018",1.18,1.18,1.89,1.51,-,1.28,"Jan 31, 2019",0.84,2.46,1.93,1.59,-,1.39,"Dec 31, 2018",1.04,1.04,1.80,1.45,-,1.29,"Jan 31, 2019",0.88,2.44,1.96,1.57,-,1.41,2.61,3.02,-,2.84,2.59,2.81,58.72,0.06,0.06
IDEV,iShares Core MSCI International Developed Markets ETF,-,US46435G3267,46435G326,"1,399,234,577.80",10.41,"Mar 21, 2017",Equity,Large/Mid Cap,Core,Global,Developed,Broad,"Dec 31, 2018",-14.32,-14.32,-,-,-,0.24,"Jan 31, 2019",7.39,-12.13,-,-,-,4.13,"Dec 31, 2018",-13.99,-13.99,-,-,-,0.32,"Jan 31, 2019",6.97,-12.18,-,-,-,3.99,2.95,2.90,-,1.86,-,-,-,0.05,0.05
AOR,iShares Core Growth Allocation ETF,-,US4642898674,464289867,"1,243,335,040.61",7.06,"Nov 04, 2008",Multi Asset,Static Allocation,Core,Global,Developed,Broad,"Dec 31, 2018",-5.84,-5.84,5.19,4.11,7.76,7.31,"Jan 31, 2019",5.12,-3.89,8.00,5.61,9.01,7.77,"Dec 31, 2018",-5.91,-5.91,5.13,4.09,7.73,7.30,"Jan 31, 2019",5.14,-3.94,7.99,5.60,8.99,7.76,2.37,2.49,2.44,3.04,2.24,3.09,29.21,0.32,0.25
IAGG,iShares Core International Aggregate Bond ETF,-,US46435G6724,46435G672,"1,185,405,323.54",1.32,"Nov 10, 2015",Fixed Income,Multi Sectors,"Core, Income",Global,Developed,Broad,"Dec 31, 2018",2.93,2.93,3.47,-,-,3.48,"Jan 31, 2019",1.11,4.64,3.31,-,-,3.74,"Dec 31, 2018",2.90,2.90,3.54,-,-,3.57,"Jan 31, 2019",0.79,4.53,3.15,-,-,3.72,3.25,1.01,-,3.43,7.27,8.85,55.02,0.09,0.09
USRT,iShares Core U.S. REIT ETF,-,US4642885218,464288521,"1,178,925,539.27",12.30,"May 01, 2007",Real Estate,Real Estate Securities,"Core, Sectors, Income",North America,Developed,United States,"Dec 31, 2018",-4.55,-4.55,2.75,7.63,11.35,3.51,"Jan 31, 2019",11.73,11.28,7.91,9.24,14.67,4.46,"Dec 31, 2018",-4.57,-4.57,2.75,7.65,11.26,3.48,"Jan 31, 2019",11.72,11.37,7.98,9.26,14.61,4.43,5.06,3.61,-,2.58,-,-,-,0.08,0.08
IPAC,iShares Core MSCI Pacific ETF,-,US46434V6965,46434V696,"1,013,818,009.15",8.73,"Jun 10, 2014",Equity,All Cap,Core,Asia Pacific,Developed,Broad,"Dec 31, 2018",-12.38,-12.38,4.85,-,-,3.09,"Jan 31, 2019",6.50,-10.59,10.19,-,-,4.44,"Dec 31, 2018",-12.56,-12.56,4.96,-,-,3.00,"Jan 31, 2019",7.05,-10.52,9.77,-,-,4.46,2.75,2.71,-,2.75,-,-,-,0.10,0.10
AOM,iShares Core Moderate Allocation ETF,-,US4642898757,464289875,"1,011,234,339.92",5.13,"Nov 04, 2008",Multi Asset,Static Allocation,Core,Global,Developed,Broad,"Dec 31, 2018",-3.86,-3.86,4.31,3.21,5.83,5.67,"Jan 31, 2019",3.75,-1.95,6.16,4.27,6.70,6.01,"Dec 31, 2018",-3.96,-3.96,4.28,3.21,5.78,5.67,"Jan 31, 2019",3.64,-1.95,6.15,4.24,6.64,5.99,2.44,2.62,2.56,2.84,3.39,4.66,44.11,0.32,0.25
AOA,iShares Core Aggressive Allocation ETF,-,US4642898591,464289859,"905,401,852.01",9.04,"Nov 04, 2008",Multi Asset,Static Allocation,Core,Global,Developed,Broad,"Dec 31, 2018",-7.76,-7.76,6.02,4.58,9.85,9.02,"Jan 31, 2019",6.45,-5.77,9.80,6.56,11.52,9.60,"Dec 31, 2018",-7.78,-7.78,6.01,4.58,9.80,9.02,"Jan 31, 2019",6.42,-5.79,9.80,6.55,11.51,9.60,2.22,2.38,2.32,2.90,1.12,1.53,14.51,0.32,0.25
AOK,iShares Core Conservative Allocation ETF,-,US4642898831,464289883,"483,438,094.00",4.19,"Nov 04, 2008",Multi Asset,Static Allocation,Core,Global,Developed,Broad,"Dec 31, 2018",-2.88,-2.88,3.83,2.84,4.79,4.84,"Jan 31, 2019",3.12,-0.95,5.23,3.63,5.40,5.11,"Dec 31, 2018",-3.03,-3.03,3.77,2.83,4.87,4.83,"Jan 31, 2019",3.06,-1.03,5.20,3.60,5.20,5.10,2.60,2.65,2.59,5.87,3.97,5.46,51.69,0.32,0.25
ILTB,iShares Core 10+ Year USD Bond ETF,-,US4642894798,464289479,"228,111,909.09",2.32,"Dec 08, 2009",Fixed Income,Multi Sectors,"Core, Income",North America,Developed,United States,"Dec 31, 2018",-5.00,-5.00,4.30,5.35,-,5.91,"Jan 31, 2019",2.55,-0.81,4.57,5.06,-,6.15,"Dec 31, 2018",-5.13,-5.13,4.32,5.49,-,5.93,"Jan 31, 2019",2.92,-0.47,4.60,5.24,-,6.20,4.04,4.14,-,3.85,14.19,23.32,121.67,0.06,0.06
IMTB,iShares Core 5-10 Year USD Bond ETF,-,US46435G4174,46435G417,"58,226,106.05",1.72,"Nov 01, 2016",Fixed Income,Multi Sectors,"Core, Income",North America,Developed,United States,"Dec 31, 2018",0.07,0.07,-,-,-,0.82,"Jan 31, 2019",1.55,2.80,-,-,-,1.48,"Dec 31, 2018",-0.45,-0.45,-,-,-,1.00,"Jan 31, 2019",1.52,3.05,-,-,-,1.64,3.00,3.14,3.13,3.07,5.04,6.73,78.24,0.08,0.06
